Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G138222;10/5/2015;5924;20 AVENUE;BROOKLYN;11204;59 STREET / 60 STREET;;312;12;66;44;FALSE;988962;165030;Yes;No;No;FALSE
G138230;10/5/2015;1336;CONEY ISLAND AVENUE;BROOKLYN;11230;AVENUE I / AVENUE J;;314;12;66;44;FALSE;993800;167010;Yes;No;No;FALSE
G138231;10/5/2015;6018;18 AVENUE;BROOKLYN;11204;60 STREET / 61 STREET;;312;12;66;44;FALSE;987600;165791;Yes;No;No;FALSE
G138232;10/5/2015;2465;BROADWAY;MANHATTAN;10025;WEST   91 STREET / WEST   92 STREET;;107;7;24;06;FALSE;991351;227817;No;No;No;FALSE
G138234;10/5/2015;750;GRAND CONCOURSE;BRONX;10451;EAST  153 STREET / EAST  156 STREET;"Paint No preference ; ";204;4;44;17;FALSE;1005250;239103;No;Yes;No;FALSE
G138241;10/5/2015;603;GREENWICH STREET;MANHATTAN;10014;CLARKSON STREET / LEROY STREET;;102;2;6;03;FALSE;982022;205156;No;No;No;FALSE
G138242;10/5/2015;333;ST NICHOLAS AVENUE;MANHATTAN;10027;WEST  126 STREET / WEST  127 STREET;"Paint Brick-Red ; Powerwash; ";109;9;26;07;FALSE;997503;235066;No;No;No;FALSE
G138245;10/5/2015;8604;4 AVENUE;BROOKLYN;11209;86 STREET / 87 STREET;;310;10;68;43;FALSE;976265;166140;No;No;No;FALSE
G138246;10/5/2015;1742;UNION PORT ROAD;BRONX;10462;BEND / AMETHYST STREET;;211;11;49;15;FALSE;1020898;247033;Yes;No;No;FALSE
G138253;10/6/2015;102;SECOND AVENUE;MANHATTAN;10003;EAST    5 STREET / EAST    6 STREET;"Powerwash; ";103;3;9;02;FALSE;987470;204219;No;No;No;FALSE
G138255;10/6/2015;133-48;WHITESTONE EXPRESSWAY;QUEENS;11354;ULMER STREET / DOWNING STREET;"Powerwash; ";407;07;109;20;FALSE;1029731;219435;No;No;No;FALSE
G138257;10/6/2015;18;ALLEN STREET;MANHATTAN;10002;CANAL STREET / HESTER STREET;"Paint No preference ; Powerwash; ";103;3;7;01;FALSE;986436;199842;No;No;No;FALSE
G138259;10/6/2015;59;CANAL STREET;MANHATTAN;10002;ORCHARD STREET / ALLEN STREET;;103;3;7;01;FALSE;986463;199816;Yes;No;No;FALSE
G138261;10/6/2015;80;DELANCY STREET;MANHATTAN;10002;ALLEN STREET / ORCHARD STREET;;103;3;7;01;FALSE;987062;201361;Yes;No;No;FALSE
G138262;10/6/2015;118;DELANCEY STREET;MANHATTAN;10002;ESSEX STREET / NORFOLK STREET;;103;3;7;01;TRUE;987671;201268;Yes;No;No;FALSE
G138263;10/6/2015;146;DELANCY STREET;MANHATTAN;10002;NORFOLK STREET / SUFFOLK STREET;;103;3;7;01;FALSE;987952;201038;Yes;No;No;FALSE
G138264;10/6/2015;108;DELANCEY STREET;MANHATTAN;10002;LUDLOW STREET / ESSEX STREET;;103;3;7;01;FALSE;987456;201222;Yes;No;No;FALSE
G138265;10/6/2015;110;DELANCY STREET;MANHATTAN;10002;LUDLOW STREET / ESSEX STREET;;103;3;7;01;FALSE;987498;201205;Yes;No;No;FALSE
G138266;10/6/2015;135;DIVISION STREET;MANHATTAN;10002;LUDLOW STREET / CANAL STREET;"Paint No preference brown on all roll dwn gates; ";103;3;7;01;FALSE;986703;199528;Yes;No;No;FALSE
G138273;10/6/2015;36;LUDLOW STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;;103;3;7;01;FALSE;986971;200138;Yes;No;No;FALSE
G138274;10/6/2015;42;LUDLOW STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;;103;3;7;01;FALSE;987003;200221;No;No;No;FALSE
G138275;10/6/2015;69;LUDLOW STREET;MANHATTAN;10002;GRAND STREET / BROOME STREET;"Paint Gray ; ";103;3;7;01;FALSE;987032;200663;Yes;No;No;FALSE
G138276;10/6/2015;34;LUDLOW STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;"Paint Other green& brown; ";103;3;7;01;FALSE;986931;200098;Yes;No;No;FALSE
G138278;10/6/2015;10;LUDLOW STREET;MANHATTAN;10002;CANAL STREET / HESTER STREET;;103;3;7;01;FALSE;986836;199775;No;No;No;FALSE
