Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G138347;10/8/2015;96;NORTH FIRST STREET;BROOKLYN;11211;WYTHE AVENUE / BERRY STREET;;301;1;90;34;FALSE;994414;200080;Yes;No;No;FALSE
G138348;10/8/2015;96;NORTH FIRST STREET;BROOKLYN;11211;WYTHE AVENUE / BERRY STREET;;301;1;90;34;FALSE;994414;200080;Yes;No;No;FALSE
G138351;10/8/2015;1689;MCDONALD AVENUE;BROOKLYN;11230;RYDER AVENUE / AVENUE O;"Paint No preference ; Powerwash; ";311;12;66;44;FALSE;991693;162180;Yes;No;Yes;FALSE
G138352;10/8/2015;295;AVENUE O;BROOKLYN;11230;MC DONALD AVENUE / EAST    2 STREET;"Paint No preference ; Powerwash; ";312;12;66;44;FALSE;991696;162089;Yes;No;No;FALSE
G138353;10/8/2015;8712;19 AVENUE;BROOKLYN;11214;BENSON AVENUE / BATH AVENUE;"Powerwash; ";311;11;62;50;FALSE;983435;159287;Yes;No;No;FALSE
G138354;10/8/2015;1703;MC DONALD AVENUE;BROOKLYN;11230;AVENUE O / 65 STREET;"Paint No preference ; ";311;12;66;44;FALSE;991741;161620;Yes;No;No;FALSE
G138355;10/8/2015;201;LAFAYETTE STREET;MANHATTAN;10012;BROOME STREET / KENMARE STREET;"Powerwash; ";102;2;5;01;FALSE;984870;202024;No;No;No;FALSE
G138359;10/8/2015;1065;UNIVERSITY AVENUE;BRONX;10452;WEST  165 STREET / UNNAMED STREET;;204;04;44;16;FALSE;1003780;244237;No;No;No;FALSE
G138360;10/8/2015;227;WEST   27 STREET;MANHATTAN;10001;7 AVENUE / 8 AVENUE;;105;05;10;03;TRUE;985698;211585;No;No;No;FALSE
G138365;10/8/2015;521;BROOKLYN AVENUE;BROOKLYN;11225;EAST NEW YORK AVENUE / MAPLE STREET;"Powerwash; ";309;9;71;40;FALSE;999443;180378;Yes;No;No;FALSE
G138366;10/8/2015;226;VARICK STREET;MANHATTAN;10014;DOWNING STREET / 7 AVENUE SOUTH;"Powerwash; ";102;2;6;03;FALSE;982862;204926;No;No;No;FALSE
G138370;10/9/2015;654;HENRY STREET;BROOKLYN;11231;COLES STREET / HAMILTON AVENUE;"Powerwash; ";306;6;76;39;FALSE;983634;186592;Yes;No;No;FALSE
G138372;10/9/2015;1081;LIBERTY AVENUE;BROOKLYN;11208;HEMLOCK STREET / AUTUMN AVENUE;"Paint Gray ; ";305;5;75;37;FALSE;1020467;186494;Yes;No;No;FALSE
G138374;10/9/2015;6809;3 AVENUE;BROOKLYN;11220;68 STREET / BAY RIDGE AVENUE;"Paint Gray ; ";310;10;68;43;FALSE;977139;171009;No;No;No;FALSE
G138375;10/9/2015;849;MADISON STREET;BROOKLYN;11221;RALPH AVENUE / HOWARD AVENUE;;303;03;81;41;FALSE;1005843;190023;No;No;No;FALSE
G138376;10/9/2015;855;MADISON STREET;BROOKLYN;11221;RALPH AVENUE / HOWARD AVENUE;;303;03;81;41;FALSE;1005915;190034;No;No;No;FALSE
G138377;10/9/2015;319;GRAND STREET;BROOKLYN;11211;HAVEMEYER STREET / MARCY AVENUE;"Paint Other POWER WASH WALLS AND GATES; Powerwash; ";301;1;90;34;FALSE;996296;199010;No;No;No;FALSE
G138378;10/9/2015;539;FLUSHING AVENUE;BROOKLYN;11206;LEE AVENUE / MARCY AVENUE;"Powerwash; ";301;1;90;33;FALSE;997207;194170;No;No;No;FALSE
G138379;10/9/2015;1277;FLUSHING AVENUE;BROOKLYN;11237;SCOTT AVENUE / CYPRESS AVENUE;"Paint No preference ; ";301;01;90;34;FALSE;1005805;197688;Yes;No;No;FALSE
G138383;10/9/2015;637;HENRY STREET;BROOKLYN;11231;3 PLACE / 4 PLACE;;306;6;76;39;FALSE;983838;186773;Yes;No;No;FALSE
G138384;10/9/2015;2580;EAST   19 STREET;BROOKLYN;11235;AVENUE Y / AVENUE Z;"Paint No preference ; ";315;15;61;48;FALSE;997890;153713;Yes;No;No;FALSE
G138389;10/9/2015;5512;4 AVENUE;BROOKLYN;11220;55 STREET / 56 STREET;;307;07;72;38;FALSE;979800;173752;No;No;No;FALSE
G138390;10/9/2015;374;56 STREET;BROOKLYN;11220;GOWANUS EXPWY EB EN BELT PKWY / 4 AVENUE;"None Specified; ";307;7;72;38;FALSE;979674;173605;Yes;No;No;FALSE
G138397;10/10/2015;2331;WESTCHESTER AVENUE;BRONX;10462;GLOVER STREET / PARKER STREET;"Paint Gray ; ";210;10;45;13;FALSE;1026378;243974;No;No;No;FALSE
G138398;10/10/2015;2313;WESTCHESTER AVENUE;BRONX;10462;GLOVER STREET / PARKER STREET;"Paint White ; ";210;10;45;13;FALSE;1026329;243920;Yes;No;Yes;FALSE
G138399;10/10/2015;1245;BROADWAY;BROOKLYN;11221;GREENE AVENUE / GREENE AVENUE;;304;4;83;34;FALSE;1005008;191246;No;No;No;FALSE
G138400;10/10/2015;2275;WESTCHESTER AVENUE;BRONX;10462;DORIS STREET / GLOVER STREET;"Paint Brick-Red ; ";210;10;45;13;FALSE;1026126;243663;Yes;No;No;FALSE
G138401;10/10/2015;2273;WESTCHESTER AVENUE;BRONX;10462;WESTCHESTER AVENUE / DORIS STREET;"Paint No preference ; ";210;10;45;13;FALSE;1026033;243579;No;No;No;FALSE
G138404;10/10/2015;3920;BROADWAY;MANHATTAN;10032;WEST  164 STREET / WEST  165 STREET;"Paint Gray ; ";112;12;33;10;FALSE;1000533;244754;Yes;No;No;FALSE
G138405;10/10/2015;8027;FLATLANDS AVENUE;BROOKLYN;11236;EAST   80 STREET / EAST   81 STREET;;318;18;69;46;FALSE;1008429;171035;No;No;No;FALSE
G138407;10/11/2015;6226;NEW UTRECHT AVENUE;BROOKLYN;11219;62 STREET / 63 STREET;"Paint White ; ";311;11;62;38;FALSE;984968;167197;Yes;No;No;FALSE
G138408;10/11/2015;7;BAY   22 STREET;BROOKLYN;11214;86 STREET / BENSON AVENUE;;311;11;62;43;FALSE;984299;159769;No;No;No;FALSE
G138409;10/11/2015;1465;AMSTERDAM AVENUE;MANHATTAN;10027;WEST  131 STREET / WEST  133 STREET;;109;9;26;07;FALSE;997202;236939;No;No;No;FALSE
G138410;10/11/2015;1465;AMSTERDAM AVENUE;MANHATTAN;10027;WEST  131 STREET / WEST  133 STREET;;109;9;26;07;FALSE;997202;236939;Yes;No;No;FALSE
G138411;10/11/2015;1477;AMSTERDAM AVENUE;MANHATTAN;10027;WEST  131 STREET / WEST  133 STREET;;109;9;26;07;FALSE;997262;237068;No;No;No;FALSE
G138413;10/11/2015;1264;AMSTERDAM AVENUE;MANHATTAN;10027;MORNINGSIDE DRIVE / WEST  123 STREET;;109;9;26;09;FALSE;995772;234760;Yes;No;No;FALSE
G138415;10/11/2015;44;2 AVENUE;MANHATTAN;10003;EAST    2 STREET / NY MARBLE CEMETERY BOUNDARY;"Powerwash; ";103;3;9;02;FALSE;987048;203430;No;No;No;FALSE
G138416;10/11/2015;98;2 AVENUE;MANHATTAN;10003;EAST    5 STREET / EAST    6 STREET;"Paint No preference ; ";103;3;9;02;FALSE;987467;204164;Yes;No;No;FALSE
G138417;10/11/2015;104;2 AVENUE;MANHATTAN;10003;EAST    6 STREET / EAST    7 STREET;"None Specified; ";103;3;9;02;FALSE;987531;204292;Yes;No;No;FALSE
G138419;10/11/2015;57;DELANCEY STREET;MANHATTAN;10002;ELDRIDGE STREET / ALLEN STREET;;103;3;5;01;FALSE;986693;201286;Yes;No;No;FALSE
G138420;10/11/2015;159;ELDRIDGE STREET;MANHATTAN;10002;DELANCEY STREET / RIVINGTON STREET;;103;3;5;01;FALSE;986664;201537;Yes;No;No;FALSE
G138424;10/11/2015;236;EAST GUNHILL ROAD;BRONX;10467;TRYON AVENUE / KINGS COLLEGE PLACE;"Powerwash; ";207;7;52;11;FALSE;1018377;259854;Yes;No;No;FALSE
G138425;10/11/2015;236;EAST GUNHILL ROAD;BRONX;10467;TRYON AVENUE / KINGS COLLEGE PLACE;"Powerwash; ";207;7;52;11;FALSE;1018377;259854;Yes;No;No;FALSE
G138436;10/12/2015;475;WEST  155 STREET;MANHATTAN;10032;ST NICHOLAS AVENUE / AMSTERDAM AVENUE;;112;12;33;07;TRUE;1000294;242268;No;No;No;FALSE
G138437;10/12/2015;560;WEST  169 STREET;MANHATTAN;10032;AUDUBON AVENUE / BROADWAY;;112;12;33;10;TRUE;1001211;245694;No;No;No;FALSE
G138438;10/12/2015;401;WEST  164 STREET;MANHATTAN;10032;EDGECOMBE AVENUE / AMSTERDAM AVENUE;;112;12;33;07;TRUE;1001610;244219;No;No;No;FALSE
G138439;10/12/2015;131;AVENUE OF THE AMERICAS;MANHATTAN;10013;BROOME STREET / DOMINICK STREET;;102;2;1;03;TRUE;982848;203279;No;No;No;FALSE
G138440;10/12/2015;40;IRVING PLACE;MANHATTAN;10003;EAST   16 STREET / EAST   17 STREET;;106;06;13;02;TRUE;987828;207176;No;No;No;FALSE
G138441;10/12/2015;436;WEST   50 STREET;MANHATTAN;10019;9 AVENUE / 10 AVENUE;"Paint Brick-Red ; ";104;4;18;03;TRUE;986932;217497;No;No;No;FALSE
G138442;10/12/2015;549;AUDUBON AVENUE;MANHATTAN;10040;WEST  192 STREET / WEST  193 STREET;;112;12;34;10;TRUE;1004704;251129;No;No;No;FALSE
G138443;10/12/2015;100;WEST MOSHOLU PARKWAY SOUTH;BRONX;10468;PAUL AVENUE / GOULDEN AVENUE;;207;07;52;11;TRUE;1014960;259860;No;No;No;FALSE
G138445;10/12/2015;235;BERRY STREET;BROOKLYN;11211;NORTH    1 STREET / GRAND STREET;"Paint Gray ; ";301;1;90;34;FALSE;994704;199900;No;No;No;FALSE
G138451;10/12/2015;765;DEKALB AVENUE;BROOKLYN;11216;MARCY AVENUE / TOMPKINS AVENUE;;303;3;79;36;FALSE;999267;191483;No;No;No;FALSE
G138453;10/12/2015;6754;4 AVENUE;BROOKLYN;11220;SENATOR STREET / 68 STREET;"Paint No preference ; ";310;10;68;43;FALSE;977743;170883;No;No;No;FALSE
G138454;10/12/2015;2844;WESTCHESTER AVENUE;BRONX;10461;MULFORD AVENUE / MAYFLOWER AVENUE;"Paint Black ; ";210;10;45;13;FALSE;1029947;247082;No;No;No;FALSE
G138458;10/12/2015;603;MORRIS PARK AVENUE;BRONX;10460;GARFIELD STREET / FILLMORE STREET;"Paint No preference ; ";211;11;49;15;FALSE;1020346;246895;Yes;No;No;FALSE
G138459;10/12/2015;1800;MATTHEWS AVENUE;BRONX;10462;MORRIS PARK AVENUE / RHINELANDER AVENUE;;211;11;49;13;FALSE;1022532;247667;No;No;No;FALSE
G138460;10/12/2015;1084;WASHINGTON AVENUE;BROOKLYN;11225;EMPIRE BOULEVARD / FRANKLIN AVENUE;"Paint No preference ; ";309;9;71;35;FALSE;994966;180643;Yes;No;No;FALSE
G138461;10/12/2015;47-59;49 STREET;QUEENS;11377;47 AVENUE / 48 AVENUE;;402;2;108;26;FALSE;1007416;208649;No;No;No;FALSE
G138463;10/12/2015;260;EAST FORDHAM ROAD;BRONX;10458;VALENTINE AVENUE / TIEBOUT AVENUE;;205;5;46;15;FALSE;1013135;253313;Yes;No;No;FALSE
G138465;10/12/2015;263;EAST FORDHAM ROAD;BRONX;10458;VALENTINE AVENUE / TIEBOUT AVENUE;;207;7;52;15;FALSE;1013197;253504;Yes;No;No;FALSE
G138467;10/12/2015;215;EAST FORDHAM ROAD;BRONX;10458;GRAND CONCOURSE / VALENTINE AVENUE;;207;7;52;15;FALSE;1013032;253592;Yes;No;No;FALSE
G138471;10/12/2015;1051;SOUTHERN BOULEVARD;BRONX;10459;ALDUS STREET / WESTCHESTER AVENUE;;202;2;41;17;FALSE;1014020;239494;Yes;No;No;FALSE
G138472;10/12/2015;2866;THIRD AVENUE;BRONX;10455;EAST  149 STREET / EAST  150 STREET;;201;1;40;17;FALSE;1007315;236616;Yes;No;No;FALSE
G138473;10/12/2015;2914;THIRD AVENUE;BRONX;10455;EAST  150 STREET / EAST  151 STREET;"Powerwash; ";201;01;40;17;FALSE;1007701;236943;Yes;No;No;FALSE
G138475;10/12/2015;153;LAWRENCE STREET;BROOKLYN;11201;WILLOUGHBY STREET / FULTON STREET;;302;2;84;33;FALSE;988162;191124;Yes;No;No;FALSE
G138478;10/12/2015;912;FLATBUSH AVENUE;BROOKLYN;11226;CHURCH AVENUE / SNYDER AVENUE;"Paint Other NO METHOD SPECIFIED - GRAFFITI ON TOP IFO THE BUILDING; ";314;14;70;40;FALSE;995685;175869;Yes;No;No;FALSE
G138480;10/12/2015;160;EAST  125 STREET;MANHATTAN;10035;LEXINGTON AVENUE / 3 AVENUE;"Paint Gray ; Powerwash; ";111;11;25;08;FALSE;1001718;232141;Yes;No;No;FALSE
G138482;10/12/2015;163-33;JAMAICA AVENUE;QUEENS;11432;163 STREET / 164 STREET;;412;12;103;24;FALSE;1040741;196269;Yes;No;No;FALSE
G138483;10/12/2015;1401;FERRIS PLACE;BRONX;10461;BUTLER PLACE / WESTCHESTER AVENUE;"Powerwash; ";210;10;45;13;FALSE;1028174;244915;No;No;No;FALSE
G138485;10/12/2015;500;COLUMBUS AVENUE;MANHATTAN;10024;WEST   84 STREET / WEST   85 STREET;"Paint White Paint and powerwash; Powerwash; ";107;7;20;06;FALSE;991643;225456;Yes;No;No;FALSE
G138486;10/12/2015;500;COLUMBUS AVENUE;MANHATTAN;10024;WEST   84 STREET / WEST   85 STREET;"Paint White Paint and powerwash; Powerwash; ";107;7;20;06;FALSE;991643;225456;Yes;No;No;FALSE
G138492;10/12/2015;153-01;JAMAICA AVENUE;QUEENS;11432;153 STREET / GRACE CEMETERY BOUNDARY;"Paint Brick-Red ; ";412;12;103;24;FALSE;1039089;195487;No;No;No;FALSE
G138493;10/12/2015;94-36;MERRICK BOULEVARD;QUEENS;11433;DOUGLAS AVENUE / LIBERTY AVENUE;;412;12;103;27;FALSE;1041914;195428;No;No;No;FALSE
G138494;10/12/2015;94-07;MERRICK BOULEVARD;QUEENS;11433;LONG ISLAND RAILROAD / DOUGLAS AVENUE;"Powerwash; ";412;12;103;27;FALSE;1041936;195760;No;No;No;FALSE
G138495;10/12/2015;94-05;165 STREET;QUEENS;11433;CLAYTON ROAD / LIBERTY AVENUE;"Paint No preference closest match to existing color; ";412;12;103;27;FALSE;1041716;195526;No;No;No;FALSE
G138500;10/13/2015;3549;BROADWAY;MANHATTAN;10031;WEST  145 STREET / WEST  146 STREET;"Paint Gray ; ";109;9;30;07;FALSE;997882;240531;Yes;No;No;FALSE
G138501;10/13/2015;3551;BROADWAY;MANHATTAN;10031;WEST  145 STREET / WEST  146 STREET;"Paint Gray ; ";109;9;30;07;FALSE;997955;240608;Yes;No;No;FALSE
G138503;10/13/2015;3546;BROADWAY;MANHATTAN;10031;WEST  145 STREET / WEST  146 STREET;;109;9;30;07;FALSE;998129;240392;Yes;No;No;FALSE
G138504;10/13/2015;6;EDGECOMBE AVENUE;MANHATTAN;10030;WEST  135 STREET / WEST  136 STREET;;110;10;32;09;TRUE;998877;237020;No;No;No;FALSE
G138509;10/13/2015;4709;WHITE PLAINS ROAD;BRONX;10470;CRANFORD AVENUE / ST OUEN STREET;"None Specified; ";212;12;47;11;FALSE;1025561;268617;Yes;No;No;FALSE
G138512;10/13/2015;4712A;WHITE PLAINS ROAD;BRONX;10470;CRANFORD AVENUE / ST OUEN STREET;;212;12;47;11;FALSE;1025835;268572;Yes;No;No;FALSE
G138519;10/13/2015;3394;JEROME AVENUE;BRONX;10467;EAST MOSHOLU PARKWAY NORTH / EAST  208 STREET;;207;7;52;11;FALSE;1016490;260048;No;No;No;FALSE
G138520;10/13/2015;3409;JEROME AVENUE;BRONX;10467;EAST  208 STREET / EAST GUN HILL ROAD;"Powerwash; ";207;7;52;11;FALSE;1016387;260224;Yes;No;No;FALSE
G138521;10/13/2015;22;EAST  170 STREET;BRONX;10452;JEROME AVENUE / TOWNSEND AVENUE;;204;4;44;14;FALSE;1007027;245198;Yes;No;No;FALSE
G138522;10/13/2015;10;EAST BURNSIDE AVENUE;BRONX;10453;JEROME AVENUE / WALTON AVENUE;;205;5;46;16;FALSE;1009955;250201;Yes;No;No;FALSE
G138524;10/13/2015;3411;JEROME AVENUE;BRONX;10467;EAST  208 STREET / EAST GUN HILL ROAD;"Paint Brick-Red ; ";207;7;52;11;FALSE;1016416;260275;Yes;No;No;FALSE
G138525;10/13/2015;3413;JEROME AVENUE;BRONX;10467;EAST  208 STREET / EAST GUN HILL ROAD;"Powerwash; ";207;7;52;11;FALSE;1016457;260322;Yes;No;No;FALSE
G138527;10/13/2015;240;EAST  123 STREET;MANHATTAN;10035;3 AVENUE / 2 AVENUE;;111;11;25;08;TRUE;1002143;231303;No;No;No;FALSE
G138529;10/13/2015;3929;BROADWAY;MANHATTAN;10032;WEST  164 STREET / WEST  165 STREET;;112;12;33;10;FALSE;1000323;244884;No;No;No;FALSE
G138536;10/13/2015;851;GRAND CONCOURSE;BRONX;10451;EAST  158 STREET / EAST  159 STREET;;204;04;44;08;TRUE;1005339;240326;No;No;No;TRUE
G138537;10/13/2015;100;CENTRE STREET;MANHATTAN;10013;HOGAN PLACE / WHITE STREET;;101;1;5;01;TRUE;984031;200161;No;No;No;FALSE
G138544;10/13/2015;3901;BROADWAY;MANHATTAN;10032;WEST  163 STREET / WEST  164 STREET;"Paint No preference ; ";112;12;33;10;FALSE;1000180;244652;Yes;No;No;FALSE
G138547;10/13/2015;3885B;BROADWAY;MANHATTAN;10032;WEST  162 STREET / WEST  163 STREET;;112;12;33;10;FALSE;1000105;244479;Yes;No;No;FALSE
G138548;10/13/2015;603;WEST  161 STREET;MANHATTAN;10032;BROADWAY / FT WASHINGTON AVENUE;;112;12;33;10;FALSE;999942;244190;Yes;No;No;FALSE
G138553;10/13/2015;4156;BROADWAY;MANHATTAN;10033;WEST  175 STREET / WEST  176 STREET;;112;12;33;10;FALSE;1001441;247660;No;No;No;FALSE
G138554;10/13/2015;4156;BROADWAY;MANHATTAN;10033;WEST  175 STREET / WEST  176 STREET;;112;12;33;10;FALSE;1001441;247660;Yes;No;No;FALSE
G138556;10/13/2015;464;FT WASHINGTON AVENUE;MANHATTAN;10033;WEST  180 STREET / WEST  181 STREET;"Powerwash; ";112;12;34;07;FALSE;1001390;249140;Yes;No;No;FALSE
G138557;10/13/2015;621;WEST  181 STREET;MANHATTAN;10033;ST NICHOLAS AVENUE / WADSWORTH AVENUE;;112;12;34;10;FALSE;1002374;248933;Yes;No;No;FALSE
G138558;10/13/2015;144;DYCKMAN STREET;MANHATTAN;10040;POST AVENUE / SHERMAN AVENUE;;112;12;34;10;FALSE;1004736;253641;Yes;No;No;FALSE
G138559;10/13/2015;101;EAST  170 STREET;BRONX;10452;WALTON AVENUE / WYTHE PLACE;;204;4;44;14;FALSE;1007617;245201;Yes;No;No;FALSE
G138563;10/13/2015;845;WHITE PLAINS ROAD;BRONX;10473;TURNBULL AVENUE / STORY AVENUE;;209;9;43;18;FALSE;1023259;239168;Yes;No;No;FALSE
G138565;10/13/2015;104;EAST   25 STREET;MANHATTAN;10010;PARK AVENUE SOUTH / LEXINGTON AVENUE;;105;5;13;02;FALSE;988421;209241;No;Yes;No;FALSE
G138566;10/13/2015;1565;THIERIOT AVENUE;BRONX;10460;GUERLAIN STREET / EAST TREMONT AVENUE;;209;9;43;18;FALSE;1021253;245270;No;No;No;FALSE
G138569;10/13/2015;106-01;101 AVENUE;QUEENS;11416;106 STREET / 106 STREET;"Paint No preference ; ";409;09;102;28;FALSE;1029396;189620;No;No;No;FALSE
G138570;10/13/2015;105-17;101 AVENUE;QUEENS;11416;105 STREET / 106 STREET;"Paint White POWERWASH OR PAINT  WHATEVER IS BEST; Powerwash; ";409;09;102;28;FALSE;1029271;189574;No;No;No;FALSE
G138571;10/13/2015;19-03;75 STREET;QUEENS;11370;HAZEN STREET / 20 AVENUE;;401;1;114;22;FALSE;1013429;220520;No;No;No;FALSE
G138578;10/13/2015;508;VANDERBILT STREET;BROOKLYN;11218;18 STREET / PROSPECT AVENUE;"Paint Other YELLOW; ";307;7;72;39;FALSE;990702;177224;No;No;No;FALSE
G138582;10/13/2015;1896;3 AVENUE;MANHATTAN;10029;EAST  104 STREET / EAST  105 STREET;"Paint Brick-Red ; ";111;11;23;08;FALSE;999312;227421;No;No;No;FALSE
G138583;10/13/2015;2214;59 STREET;BROOKLYN;11204;BAY PARKWAY / 23 AVENUE;"Paint Other MAUVE; ";312;12;66;44;FALSE;990526;163968;No;No;No;FALSE
G138585;10/13/2015;93-35;ELDERT LANE;QUEENS;11421;93 AVENUE / ATLANTIC AVENUE;"None Specified; ";305;9;102;32;FALSE;1021397;188306;Yes;No;No;FALSE
G138589;10/13/2015;21;ROBIN ROAD;STATEN ISLAND;10305;FR CAPODANNO BOULEVARD / OCEAN AVENUE;"Paint Gray OR SILVER; Powerwash; ";502;2;122;50;FALSE;966734;156370;Yes;No;No;FALSE
G138590;10/13/2015;526;DAHILL ROAD;BROOKLYN;11218;40 STREET / 41 STREET;"Powerwash; ";312;12;66;39;FALSE;990009;170523;No;No;No;FALSE
G138592;10/13/2015;530;WEST  143 STREET;MANHATTAN;10031;HAMILTON PLACE / BROADWAY;"Powerwash; ";109;09;30;07;FALSE;997890;239705;No;No;No;FALSE
G138593;10/13/2015;22-61;42 STREET;QUEENS;11105;DITMARS BOULEVARD / 23 AVENUE;;401;01;114;22;FALSE;1010287;219955;No;No;Yes;FALSE
G138594;10/13/2015;200;CANAL STREET;MANHATTAN;10013;MOTT STREET / MULBERRY STREET;;103;3;5;01;FALSE;984690;200406;No;No;No;FALSE
G138598;10/13/2015;29;CLINTON STREET;MANHATTAN;10002;AVENUE B / STANTON STREET;;103;3;7;01;FALSE;988542;201747;Yes;No;No;FALSE
G138599;10/13/2015;91;CLINTON STREET;MANHATTAN;10002;RIVINGTON STREET / DELANCEY STREET;"Paint Gray ; ";103;3;7;01;FALSE;988249;201111;Yes;No;No;FALSE
G138600;10/13/2015;97;CLINTON STREET;MANHATTAN;10002;RIVINGTON STREET / DELANCEY STREET;"Paint Black ; ";103;3;7;01;FALSE;988221;201040;Yes;No;No;FALSE
G138602;10/13/2015;38;LUDLOW STREET;MANHATTAN;10002;HESTER STREET / GRAND STREET;"Paint Gray ; ";103;3;7;01;FALSE;986980;200163;Yes;No;No;FALSE
G138604;10/13/2015;303;EAST HOUSTON STREET;MANHATTAN;10002;AVENUE B / ATTORNEY STREET;"Paint No preference ; ";103;3;7;01;FALSE;988776;202009;No;No;No;FALSE
G138605;10/13/2015;3;WHITE STREET;MANHATTAN;10013;WEST BROADWAY / AVENUE OF THE AMERICAS;"Paint No preference ; Powerwash; ";101;1;1;01;FALSE;982597;201262;No;Yes;No;FALSE
G138609;10/13/2015;92;JEFFERSON STREET;BROOKLYN;11206;STANWIX STREET / EVERGREEN AVENUE;;304;4;83;34;FALSE;1003197;194022;No;No;No;FALSE
G138615;10/13/2015;478;HALSEY STREET;BROOKLYN;11233;LEWIS AVENUE / STUYVESANT AVENUE;"Paint Gray GRAFFITI ON LEWIS AVE & HALSEY ST SIDES; ";303;3;81;36;FALSE;1002287;188244;No;No;No;FALSE
G138618;10/13/2015;27-14;21 AVENUE;QUEENS;11105;27 STREET / 28 STREET;"Paint No preference White; ";401;1;114;22;FALSE;1008993;223164;Yes;No;No;FALSE
G138622;10/14/2015;241;EAST  149 STREET;BRONX;10451;PARK AVENUE / MORRIS AVENUE;;201;1;40;17;FALSE;1005336;237336;Yes;No;No;FALSE
G138624;10/14/2015;2185;WHITE PLAINS ROAD;BRONX;10462;LYDIG AVENUE / PELHAM PARKWAY;"Paint Other beige; ";211;11;49;13;FALSE;1020767;251294;Yes;No;No;FALSE
G138625;10/14/2015;1764;UNIVERSITY AVENUE;BRONX;10453;WEST  176 STREET / MACOMBS ROAD;"None Specified; ";205;5;46;16;FALSE;1007347;248700;Yes;No;No;FALSE
G138635;10/14/2015;339;MORRIS AVENUE;BRONX;10451;EAST  140 STREET / EAST  142 STREET;;201;01;40;08;TRUE;1004743;235730;Yes;No;No;FALSE
G138636;10/14/2015;2122;WHITE PLAINS ROAD;BRONX;10462;MARAN PLACE / LYDIG AVENUE;"None Specified; ";211;11;49;13;FALSE;1020944;250469;Yes;No;No;FALSE
G138637;10/14/2015;2122;WHITE PLAINS ROAD;BRONX;10462;MARAN PLACE / LYDIG AVENUE;"None Specified; ";211;11;49;13;FALSE;1020944;250469;No;No;No;FALSE
G138638;10/14/2015;1000;EAST TREMONT AVENUE;BRONX;10460;VYSE AVENUE / BRYANT AVENUE;;206;06;48;15;TRUE;1016753;245495;Yes;No;No;FALSE
G138640;10/14/2015;114;EAST  184 STREET;BRONX;10468;MORRIS AVENUE / CRESTON AVENUE;;205;5;46;14;TRUE;1011755;252486;No;No;No;FALSE
G138641;10/14/2015;1010;REV JAMES A POLITE AVENUE;BRONX;10459;EAST  164 STREET / EAST  165 STREET;;202;02;41;17;TRUE;1012381;239180;No;No;No;FALSE
G138658;10/14/2015;50;BELMONT AVENUE;BROOKLYN;11212;OSBORN STREET / WATKINS STREET;"Powerwash; ";316;16;73;41;FALSE;1009683;182851;No;No;No;FALSE
G138659;10/14/2015;1061;ATLANTIC AVENUE;BROOKLYN;11238;CLASSON AVENUE / NYCTA SUBWAY;"Powerwash; ";303;3;79;36;FALSE;996368;186920;No;Yes;No;FALSE
G138660;10/14/2015;2545;VALENTINE AVENUE;BRONX;10458;EAST FORDHAM ROAD / EAST  192 STREET;"Powerwash; ";207;07;52;15;FALSE;1013258;253984;No;No;No;FALSE
G138661;10/14/2015;45-12;104 STREET;QUEENS;11368;45 AVENUE / 46 AVENUE;;404;4;110;25;FALSE;1022990;211298;Yes;No;No;FALSE
G138662;10/14/2015;45-03;40 STREET;QUEENS;11104;QUEENS BOULEVARD / 47 AVENUE;"Powerwash; ";402;2;108;26;FALSE;1005293;210117;Yes;No;No;FALSE
G138666;10/14/2015;604;ROGERS AVENUE;BROOKLYN;11225;HAWTHORNE STREET / WINTHROP STREET;"Paint Brick-Red Gray is to be used on shutters, which currently have graffiti.; ";309;9;71;40;FALSE;997165;178649;Yes;No;No;FALSE
G138667;10/14/2015;387;EAST FORDHAM ROAD;BRONX;10458;DECATUR AVENUE / WEBSTER AVENUE;;207;7;52;15;FALSE;1014307;253369;Yes;No;No;FALSE
