borough,neighborhood,building_class_category,tax_class_present,block,lot,easement,building_class_present,address,apartment_number,zip_code,residential_units,commmercial_units,total_units,land_sq_feet,gross_sq_feet,year_built,tax_class_time_sale,build_class_time_sale,sale_price,sale_date,serialid
5,ANNADALE,01  ONE FAMILY HOMES,1,6406,6,,A9,542 BARCLAY AVENUE,,10312,1,0,1,4000,2150,1987,1,A9,0,12/5/2011,212857
5,ANNADALE,01  ONE FAMILY HOMES,1,6417,33,,A1,145 LIPSETT AVENUE,,10312,1,0,1,4400,3436,2001,1,A1,740000,10/25/2011,212858
5,ANNADALE,01  ONE FAMILY HOMES,1,6421,78,,A1,232 TALLMAN STREET,,10312,1,0,1,8000,3085,1980,1,A1,930000,7/1/2011,212859
5,ANNADALE,01  ONE FAMILY HOMES,1,6424,67,,A1,49 RAE AVENUE,,10312,1,0,1,8000,2100,1975,1,A1,0,11/9/2011,212860
5,ANNADALE,01  ONE FAMILY HOMES,1,6475,265,,A3,6 NICOLOSI LOOP,,10312,1,0,1,11100,7296,1990,1,A3,1500000,7/18/2011,212861
5,ANNADALE,01  ONE FAMILY HOMES,1,6475,295,,A3,70 NICOLOSI LOOP,,10312,1,0,1,10200,7346,1989,1,A3,0,6/10/2011,212862
5,ANNADALE,01  ONE FAMILY HOMES,1,6499,30,,A3,490 JANSEN STREET,,10312,1,0,1,21836,4346,1985,1,A3,0,4/18/2011,212863
5,ANNADALE,01  ONE FAMILY HOMES,1,6511,22,,A1,16 RUGGLES STREET,,10312,1,0,1,7500,1254,1945,1,A1,456500,7/8/2011,212864
5,ANNADALE,01  ONE FAMILY HOMES,1,6517,225,,A1,30 GENTILE COURT,,10312,1,0,1,13950,5900,1999,1,A1,999999,2/7/2011,212865
5,ANNADALE,01  ONE FAMILY HOMES,1,6523,76,,B2,ARBUTUS AVENUE,,10312,2,0,2,5811,4713,2010,1,A1,835239,2/17/2011,212866
5,ANNADALE,02  TWO FAMILY HOMES,1,6205,94,,B9,43 SEGUINE PLACE,,10312,2,0,2,3250,1804,1986,1,B9,0,1/7/2011,212867
5,ANNADALE,02  TWO FAMILY HOMES,1,6205,104,,B9,71 SEGUINE PLACE,,10312,2,0,2,2900,1804,1986,1,B9,0,10/28/2011,212868
5,ANNADALE,02  TWO FAMILY HOMES,1,6209,74,,B9,185 MOSELY AVENUE,,10312,2,0,2,3250,2008,1986,1,B9,0,5/18/2011,212869
5,ANNADALE,02  TWO FAMILY HOMES,1,6226,145,,B2,919 CARLTON BOULEVARD,,10312,2,0,2,5600,2579,1950,1,B2,0,3/1/2011,212870
5,ANNADALE,02  TWO FAMILY HOMES,1,6233,47,,B2,600 ARDEN AVENUE,,10312,2,0,2,6000,2488,1975,1,B2,481000,2/24/2011,212871
5,ANNADALE,02  TWO FAMILY HOMES,1,6233,47,,B2,600 ARDEN AVENUE,,10312,2,0,2,6000,2488,1975,1,B2,0,1/19/2011,212872
5,ANNADALE,02  TWO FAMILY HOMES,1,6249,245,,B2,128 NORTH PINE TERRACE,,10312,2,0,2,4000,2008,1965,1,B2,462500,4/21/2011,212873
5,ANNADALE,02  TWO FAMILY HOMES,1,6249,247,,B2,132 NORTH PINE TERRACE,,10312,2,0,2,4000,2008,1965,1,B2,530000,1/26/2011,212874
5,ANNADALE,02  TWO FAMILY HOMES,1,6252,27,,B2,10 BUFFINGTON AVENUE,,10312,2,0,2,6000,2440,1985,1,B2,695000,4/11/2011,212875
5,ANNADALE,02  TWO FAMILY HOMES,1,6254,103,,B9,83 SOUTH RAILROAD ST,,10312,2,0,2,6080,2802,1993,1,B9,0,6/1/2011,212876
5,ANNADALE,02  TWO FAMILY HOMES,1,6265,39,,B2,286 JEFFERSON BOULEVARD,,10312,2,0,2,6000,2758,1975,1,B2,548000,6/23/2011,212877
5,ANNADALE,02  TWO FAMILY HOMES,1,6272,13,,B2,25 HOLCOMB AVENUE,,10312,2,0,2,8000,2386,1975,1,B2,0,12/1/2011,212878
5,ANNADALE,02  TWO FAMILY HOMES,1,6302,1,,B2,460 SINCLAIR AVENUE,,10312,2,0,2,4800,2440,1984,1,B2,538000,10/19/2011,212879
5,ANNADALE,02  TWO FAMILY HOMES,1,6304,31,,B1,370 VINELAND AVENUE,,10312,2,0,2,5900,3136,1980,1,B1,580000,12/13/2011,212880
5,ANNADALE,02  TWO FAMILY HOMES,1,6305,11,,B2,798 WOODROW ROAD,,10312,2,0,2,9282,3370,1987,1,B2,0,2/9/2011,212881
5,ANNADALE,02  TWO FAMILY HOMES,1,6305,114,,B1,375 VINELAND AVENUE,,10312,2,0,2,10000,3976,1986,1,B1,141666,1/12/2011,212882
5,ANNADALE,02  TWO FAMILY HOMES,1,6349,14,,B2,482 HAROLD AVENUE,,10312,2,0,2,10100,4058,1984,1,B2,0,3/17/2011,212883
5,ANNADALE,02  TWO FAMILY HOMES,1,6360,57,,B9,56 RYAN PLACE,,10312,2,0,2,6000,3165,1991,1,B9,800000,3/2/2011,212884
5,ANNADALE,02  TWO FAMILY HOMES,1,6407,42,,B9,438 SHIRLEY AVENUE,,10312,2,0,2,8534,4000,1987,1,B9,800000,11/1/2011,212885
5,ANNADALE,02  TWO FAMILY HOMES,1,6455,3,,B2,12 LYNCH STREET,,10312,2,0,2,4780,2840,1986,1,B2,575000,2/10/2011,212886
5,ANNADALE,02  TWO FAMILY HOMES,1,6475,515,,B2,361 ARBUTUS AVENUE,,10312,2,0,2,13650,4576,1997,1,B2,1050000,2/4/2011,212887
5,ANNADALE,02  TWO FAMILY HOMES,1,6517,79,,B2,14 DENISE COURT,,10312,2,0,2,13475,6542,1997,1,B2,0,11/1/2011,212888
