Zip Code ,Zip Square Footage,Total population,Total population - Male,EstimatTotal population - Female,Population density,Population 16 years and over,Total population - White alone,Total population - Black or African American alone,Total population - Asian alone,Total population - Hispanic or Latino (of any race),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Total households,Mean household income (dollars),Median earnings for workers (dollars),Residential Units,Total units,Non-residential units,AverageAge
11206,40195846,81525,39562,41963,2.03,60188,22241,17259,3987,36925,7042,6807,6315,6077,7468,16130,9159,651,3504,3083,4325,2238,775,28314,43235,23031,28857,40970,12113,30
11207,76758395,92491,41316,51175,1.2,69192,1979,57539,1019,30559,7870,6708,7312,7879,8652,13136,11323,735,5139,3933,5214,2487,836,30879,45365,26311,24022,25566,1544,31
11208,76541653,93107,43320,49787,1.22,69038,3136,44284,4427,39666,7732,7461,7342,8089,8483,12932,13428,710,4604,3756,4221,2120,654,28779,45630,26929,29911,31826,1915,30
11209,58413304,72623,33867,38756,1.24,59552,49577,1150,9137,11039,4667,4281,3290,3785,3785,12004,10950,567,4581,4007,5363,3634,1718,30877,82258,45434,16928,17980,1052,38
11210,48015926,65302,30511,34791,1.36,50869,20400,36779,2242,4684,4298,4378,4722,5183,5274,8896,8412,601,3948,3857,3932,1724,934,21520,73990,33729,27581,30603,3022,34
11211,57383373,93271,46187,47084,1.63,71983,60552,2825,3313,24915,9332,5767,5244,4981,8160,24401,12331,721,3894,3208,3686,2504,1372,35527,70753,35848,32337,33974,1637,31
11212,42703484,84520,34878,49642,1.98,63883,982,69739,818,11906,7264,5709,6457,7147,6573,12445,10675,688,4339,3986,5291,2825,858,30167,39952,27309,26086,27522,1436,32
11213,29512989,62059,28108,33951,2.1,47433,11505,41313,967,7157,4970,4152,4595,4472,5267,9561,7600,669,3285,2884,3781,2334,767,23512,46913,30382,31760,33566,1806,33
11214,60723916,83156,40527,42629,1.37,69002,42481,661,28139,10939,4670,4149,4343,4357,5056,13539,10772,661,5209,5208,8134,4856,2290,30415,59810,30913,31981,34543,2562,40
11215,61830546,68891,33426,35465,1.11,57050,45680,2969,5091,12473,5091,3403,2839,2512,4299,16956,12320,564,3852,3276,3502,1819,728,28822,132302,54937,24676,26206,1530,34
