GID,,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts_Game,Pts_G_$,Pts_G(alt),Bye week,PLAYS,RUN,RYD,RTD,TARGETS,REC,PYDS,PTD,FUM,INT,PERF,LAST,Connections
2911,64,RB,"Cunningham, Benny",stl,chi,H,3000,0,39.5,7,5.64,1.88,0,6,45,24,68,0,21,17,169,0,0,0,0,0,25
2647,65,RB,"Tolbert, Mike",car,ten,A,3000,0,37.9,8,4.74,1.58,0.7,5,37,26,104,1,11,9,96,1,0,0,0,0.7,28
2819,66,RB,"Powell, Bilal",nyj,buf,H,3000,0,36.8,5,7.36,2.45,0,5,57,38,129,0,19,15,89,0,0,0,0,0,29
2982,67,RB,"Oliver, Branden",sdg,,H,0,-3000,35,7,5,0,0,10,46,31,108,0,15,13,112,0,0,0,0,0,20
2902,68,RB,"Stacy, Zac",nyj,buf,H,3000,0,30.4,6,5.07,1.69,2.9,5,43,31,89,1,12,9,65,0,0,0,0,2.9,29
5370,69,RB,"Allen, Javorius",bal,jac,H,3300,3300,28.7,8,3.59,1.09,0,9,53,42,182,0,11,8,58,0,0,0,0,0,26
2719,70,RB,"Bell, Joique",det,gb,A,3200,3200,28.4,5,5.68,1.78,0,9,52,44,116,1,8,9,73,0,0,0,0,0,29
2820,71,RB,"Jones, Taiwan",oak,min,H,3500,300,28.1,6,4.68,1.34,0.6,6,21,14,70,0,7,6,101,1,1,0,0,0.6,7
2934,72,RB,"Williams, Andre",nyg,ne,H,3000,0,27.4,9,3.04,1.01,4.7,11,63,61,177,1,2,1,7,0,0,0,0,4.7,29
2881,73,RB,"Grimes, Jonathan",hou,cin,A,3000,3000,25.7,5,5.14,1.71,0,9,31,14,54,0,17,13,73,0,0,0,0,0,28
2953,74,RB,"Gray, Jonas",mia,phi,A,3000,0,25.4,5,5.08,1.69,0,5,38,31,122,0,7,6,72,0,0,0,0,0,25
2994,75,RB,"Coleman, Tevin",atl,,H,0,-3600,25.3,7,3.61,0,0.3,10,47,42,183,1,5,1,10,0,1,0,0,0.3,28
5375,76,RB,"Ward, Terron",atl,,H,0,-3000,23.1,6,3.85,0,0,10,26,19,72,1,7,5,49,0,0,0,0,0,28
2873,77,RB,"Asiata, Matt",min,oak,A,3000,0,21.3,8,2.66,0.89,0.4,5,24,14,61,0,10,11,59,0,0,0,0,0.4,29
2957,78,RB,"Williams, Damien",mia,phi,A,3000,0,21,7,3,1,0,5,22,11,46,0,11,8,34,1,1,0,0,0,25
2912,79,RB,"Line, Zach",min,oak,A,3000,0,19.6,5,3.92,1.31,0,5,7,4,4,2,3,2,52,0,0,0,0,0,29
2813,80,RB,"Helu, Roy",oak,min,H,3000,0,18.8,5,3.76,1.25,0,6,23,12,31,0,10,6,37,1,0,0,0,0,7
2975,81,RB,"Taliaferro, Lorenzo",bal,jac,H,0,0,18.6,3,6.2,0,0,9,18,13,47,1,5,5,29,0,0,0,0,0,26
2834,82,RB,"Miller, Bruce",sfo,,H,0,-3000,18.3,5,3.66,0,0.4,10,10,2,4,0,8,6,119,0,0,0,0,0.4,23
2935,83,RB,"McKinnon, Jerick",min,oak,A,3000,0,17.6,8,2.2,0.73,3.1,5,31,25,106,0,6,6,27,0,0,0,0,3.1,29
2730,84,RB,"Dixon, Anthony",buf,nyj,A,3000,0,16.9,6,2.82,0.94,0,8,21,15,19,1,6,5,40,0,0,0,0,0,13
2932,85,RB,"Mason, Tre",stl,chi,H,3000,-300,16.9,6,2.82,0.94,0.9,6,56,44,129,0,12,6,37,0,1,0,0,0.9,25
2875,86,RB,"Draughn, Shaun",sfo,,H,0,0,16.7,6,2.78,0,13.6,10,26,18,68,0,8,6,39,0,0,0,1,13.6,23
2874,87,RB,"Bolden, Brandon",ne,nyg,A,3000,0,16.5,3,5.5,1.83,12.9,4,14,7,14,0,7,5,41,1,0,0,1,12.9,27
2535,88,RB,"Bradshaw, Ahmad",ind,,H,0,-3000,16.1,4,4.03,0,8.1,10,24,18,47,0,6,3,24,1,0,0,0,8.1,18
2891,89,RB,"Davis, Knile",kan,den,A,3200,3200,15.5,8,1.94,0.61,0,9,24,21,51,1,3,2,24,0,0,0,0,0,24
2976,90,RB,"Darkwa, Orleans",nyg,ne,H,3200,-200,15.4,3,5.13,1.6,2.3,11,19,18,94,1,1,0,0,0,0,0,0,2.3,29
2913,91,RB,"Olawale, Jamize",oak,min,H,3400,400,15,5,3,0.88,7.9,6,14,11,41,1,3,3,19,0,0,0,0,7.9,7
2901,92,RB,"Robinson, Denard",jac,bal,A,3000,0,14.4,4,3.6,1.2,0.2,8,21,15,50,0,6,5,45,0,0,0,0,0.2,17
2954,93,RB,"White, James",ne,nyg,A,3000,0,13.7,4,3.43,1.14,0,4,17,7,15,0,10,7,52,0,0,0,0,0,27
2916,94,RB,"Whittaker, Fozzy",car,ten,A,3000,0,13.1,8,1.64,0.55,1.3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1.3,28
2549,95,RB,"Kuhn, John",gb,det,H,3000,0,12.2,3,4.07,1.36,0,7,6,2,4,1,4,3,28,0,0,0,0,0,4
5398,96,RB,"Robinson, Josh",ind,,H,0,-3000,12.2,5,2.44,0,0,10,23,17,39,0,6,6,33,0,1,0,0,0,18
5413,97,RB,"Fowler, Jalston",ten,car,H,3000,0,10.1,2,5.05,1.68,0,4,7,5,12,1,2,2,33,0,0,0,0,0,22
2805,98,RB,"DiMarco, Patrick",atl,,H,0,-3000,9.9,6,1.65,0,0,10,8,1,0,0,7,5,49,0,0,0,0,0,28
2736,99,RB,"Gerhart, Toby",jac,bal,A,3000,-200,9.7,5,1.94,0.65,0,8,25,20,44,0,5,3,23,0,0,0,0,0,17
5320,100,RB,"Davis, Mike",sfo,,H,0,-4000,9.7,4,2.43,0,0,10,35,25,24,0,10,5,23,0,0,0,0,0,23
2890,101,RB,"Burkhead, Rex",cin,hou,H,3000,0,9.4,5,1.88,0.63,1.7,7,6,1,-2,0,5,4,66,0,1,0,0,1.7,24
2979,102,RB,"Johnson, Austin",no,was,A,0,-3000,9.4,3,3.13,0,0,11,8,4,9,1,4,2,5,0,0,0,0,0,22
5397,103,RB,"Zenner, Zach",det,gb,A,0,0,9.1,4,2.28,0,0,9,20,17,60,0,3,2,11,0,0,0,0,0,29
2867,104,RB,"Turbin, Robert",cle,pit,A,3000,0,8.8,3,2.93,0.98,0,11,21,18,60,0,3,2,8,0,0,0,0,0,26
2495,105,RB,"Bush, Reggie",sfo,,H,0,-3000,8.7,5,1.74,0,0,10,18,8,28,0,10,4,19,0,0,0,0,0,23
2855,106,RB,"Herron, Dan",buf,nyj,A,3000,0,8.7,3,2.9,0.97,0,8,14,11,37,0,3,3,20,0,0,0,0,0,13
2914,107,RB,"Ware, Spencer",kan,den,A,3000,3000,8,2,4,1.33,0,9,4,4,20,1,0,0,0,0,0,0,0,0,24
2877,108,RB,"Johnson, Will",pit,cle,H,3000,0,6.7,2,3.35,1.12,0,11,5,4,7,1,1,0,0,0,0,0,0,0,20
5426,109,RB,"Gaskins, Kendall",sfo,,H,0,-3000,6.3,2,3.15,0,2,10,15,12,26,0,3,2,17,0,0,0,0,2,23
2818,110,RB,"Rodgers, Jacquizz",chi,stl,A,0,0,6.1,5,1.22,0,0,7,17,14,41,0,3,1,10,0,0,0,0,0,30
2863,111,RB,"Rainey, Bobby",tam,dal,H,3000,0,5.9,7,0.84,0.28,0.3,6,7,4,13,0,3,3,16,0,0,0,0,0.3,25
2910,112,RB,"Bohanon, Tommy",nyj,buf,H,3000,0,5.8,2,2.9,0.97,0,5,7,2,2,0,5,3,54,0,0,0,0,0,29
2898,113,RB,"Michael, Christine",dal,tam,A,3000,0,5.5,4,1.38,0.46,0,6,18,15,51,0,3,1,2,0,0,0,0,0,27
5396,114,RB,"Murphy, Marcus",no,was,A,3000,0,5,9,0.56,0.19,-1,11,0,0,0,0,0,0,0,0,1,0,0,-1,22
2861,115,RB,"Pierce, Bernard",jac,bal,A,3000,0,4.8,4,1.2,0.4,0,8,11,6,11,0,5,3,7,0,0,0,0,0,17
4663,116,RB,"Johnson, Malcolm",cle,pit,A,3000,0,4.4,3,1.47,0.49,0,11,4,0,0,0,4,3,14,0,0,0,0,0,26
2998,117,RB,"Ajayi, Jay",mia,phi,A,3000,3000,4.1,1,4.1,1.37,4.1,5,11,11,89,0,0,0,0,0,0,0,0,4.1,25
2965,118,RB,"Thompson, Juwan",den,kan,H,3000,0,3.6,3,1.2,0.4,0,7,5,4,10,0,1,1,16,0,0,0,0,0,28
2822,119,RB,"Sherman, Anthony",kan,den,A,3000,3000,3.3,3,1.1,0.37,0,9,3,1,0,0,2,2,13,0,0,0,0,0,24
5401,120,RB,"Hayne, Jarryd",sfo,,H,0,0,3.2,6,0.53,0,0,10,9,8,25,0,1,1,7,0,1,0,0,0,23
2791,121,RB,"Young, Darrel",was,no,H,3000,0,3.1,5,0.62,0.21,0,8,8,6,10,0,2,3,7,0,0,0,0,0,27
