zip,total,sub10k,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-60,60-75,75-100,100-125,125-150,150-200,above200
10919,536,28,9,0,0,0,47,7,0,11,45,26,123,48,68,65,59
10920,2962,111,94,142,58,87,69,72,33,37,153,277,438,339,237,330,485
10921,1474,64,44,43,21,89,37,19,51,28,137,200,158,264,108,113,98
10922,540,26,0,14,0,0,19,0,26,40,12,81,93,112,11,77,29
10923,2659,100,43,68,36,56,61,22,98,160,162,217,462,389,285,279,221
10924,4506,150,145,153,227,140,93,172,96,155,271,414,679,545,392,505,369
10925,1744,142,82,56,0,50,44,148,38,105,24,222,223,115,211,118,166
10926,1224,11,26,29,51,78,53,39,9,65,114,210,135,144,133,103,24
10927,3647,191,127,251,238,109,101,197,228,180,327,380,293,285,341,172,227
10928,1794,99,0,34,160,19,55,93,101,117,163,148,341,211,113,63,77
10930,2752,23,85,80,0,54,0,23,101,5,56,244,332,303,598,404,444
10931,312,14,8,16,1,7,9,7,13,10,30,31,48,36,28,34,20
10932,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
10933,225,28,0,0,0,8,0,0,0,0,48,0,65,36,10,30,0
10940,17219,1148,778,1023,782,674,814,936,629,622,1338,1740,2492,1579,1116,865,683
10941,4676,187,128,185,178,112,151,75,232,213,444,556,799,461,357,401,197
10950,12825,656,847,586,554,483,358,321,337,568,725,1150,1403,1447,973,1213,1204
10952,9242,645,952,698,504,441,357,290,344,255,500,695,922,729,441,710,759
10953,62,0,0,0,0,0,0,0,0,0,0,8,20,26,8,0,0
10954,8611,262,324,378,206,171,247,239,258,186,465,590,1442,851,833,1181,978
10956,10055,204,224,188,181,186,232,231,150,234,315,621,1267,1425,909,1324,2364
10958,913,51,27,18,37,23,24,13,0,32,84,46,77,143,112,169,57
10960,6378,382,178,142,263,207,288,194,249,271,341,508,773,509,506,589,978
10962,1703,52,77,103,47,18,0,33,56,49,59,155,195,131,226,181,321
10963,849,43,65,31,13,54,30,7,29,13,71,94,151,95,66,50,37
10964,598,27,0,47,0,53,0,0,15,9,0,66,67,100,17,64,133
10965,5380,182,229,172,194,119,86,136,14,138,365,419,639,677,492,616,902
