Location Name,BEDS Number,Zip
P.S. 023 The New Children's School,321000010023,10457
P.S. 024 Spuyten Duyvil,321000010024,10463
P.S. 032 Belmont,321000010032,10458
P.S. 033 Timothy Dwight,321000010033,10468
P.S. X037 - Multiple Intelligence School,321000010037,10463
Thomas C. Giordano Middle School 45,321000010045,10458
P.S. 046 Edgar Allan Poe,321000010046,10458
P.S. 051 Bronx New School,321000010051,10457
P.S./I.S. 54,321000010054,10458
P.S. 056 Norwood Heights,321000010056,10467
P.S. 059 The Community School of Technology,321000010059,10457
Bedford Park Elementary School,321000010077,10467
J.H.S. 080 The Mosholu Parkway,321000010080,10467
P.S. 081 Robert J. Christen,321000010081,10471
P.S. 085 Great Expectations,321000010085,10458
P.S. 086 Kingsbridge Heights,321000010086,10468
P.S. 091 Bronx,321000010091,10453
P.S. 094 Kings College School,321000010094,10467
P.S. 095 Sheila Mencher,321000010095,10463
J.H.S. 118 William W. Niles,321000010118,10457
Riverdale / Kingsbridge Academy (Middle School / High School 141),321000011141,10463
P.S. 159 Luis Munoz Marin Biling,321000010159,10458
P.S. 205 Fiorello Laguardia,321000010205,10458
I.S. 206 Ann Mersereau,321000010206,10468
P.S. 207,321000010207,10463
P.S. 209,321000010209,10458
Bronx Engineering and Technology Academy,321000011213,10463
Theatre Arts Production Company School,321000010225,10457
P.S. 226,321000010226,10453
Jonas Bronck Academy,321000010228,10458
"The Marie Curie School for Medicine, Nursing, and Health Professions",321000011237,10463
West Bronx Academy for the Future,321000011243,10458
The New School for Leadership and Journalism,321000010244,10463
P.S. 246 Poe Center,321000010246,10468
I.S. 254,321000010254,10458
Bronx Academy for Software Engineering (BASE),321000011264,10458
Kingsbridge International High School,321000011268,10468
"P.S. 279 Captain Manuel Rivera, Jr.",321000010279,10453
P.S./M.S. 280 Mosholu Parkway,321000010280,10467
Bronx School of Law and Finance,321000011284,10463
P.S. 291,321000010291,10453
P.S. 306,321000010306,10453
Luisa Pineiro Fuentes School of Science and Discovery,321000010307,10468
Bronx Dance Academy School,321000010308,10467
P.S. 310 Marble Hill,321000010310,10463
P.S. 315 Lab School,321000010315,10453
Providing Urban Learners Success In Education High School,321000011319,10457
The Bronx School of Young Leaders,321000010331,10453
P.S. 340,321000010340,10468
International School for Liberal Arts,321000011342,10468
Ampark Neighborhood,321000010344,10463
Bronx Collaborative High School,321000011351,10468
World View High School,321000011353,10468
P.S. 360,321000010360,10463
Academy For Personal Leadership And Excellence,321000010363,10468
In-Tech Academy (M.S. / High School 368),321000010368,10463
Knowledge and Power Preparatory Academy International High School (Kappa),321000011374,10458
"Elementary School for Math, Science, and Technology",321000010382,10453
School for Environmental Citizenship,321000010386,10453
M.S. 390,321000010390,10453
The Angelo Patri Middle School,321000010391,10457
P.S. 396,321000010396,10453
English Language Learners and International Support Preparatory Academy (ELLIS),321000011397,10463
High School for Teaching and the Professions,321000011433,10468
Belmont Preparatory High School,321000011434,10458
Fordham High School for the Arts,321000011437,10458
Fordham Leadership Academy for Business and Technology,321000011438,10458
Bronx High School for Law and Community Service,321000011439,10458
DeWitt Clinton High School,321000011440,10468
"Celia Cruz Bronx High School of Music, The",321000011442,10468
Bronx High School of Science,321000011445,10468
Creston Academy,321000010447,10453
East Fordham Academy for the Arts,321000011459,10468
Marble Hill High School for International Studies,321000011477,10463
Crotona International High School,321000011524,10458
Pre-K Center District 10,,10458
Bronx Theatre High School,321000011546,10463
Discovery High School,321000011549,10468
High School for Energy and Technology,321000011565,10458
High School of American Studies at Lehman College,321000011696,10468
P.S. 016 Wakefield,321100010016,10470
P.S. 019 Judith K. Weiss,321100010019,10470
P.S. 021 Philip H. Sheridan,321100010021,10466
P.S. 041 Gun Hill Road,321100010041,10467
P.S. 068 Bronx,321100010068,10466
P.S. 076 The Bennington School,321100010076,10469
P.S. 078 Anne Hutchinson,321100010078,10469
P.S. 083 Donald Hertz,321100010083,10462
P.S. 087 Bronx,321100010087,10466
P.S. 089 Bronx,321100010089,10469
P.S. 096 Richard Rodgers,321100010096,10467
P.S. 097 Bronx,321100010097,10469
P.S. 103 Hector Fontanez,321100010103,10466
P.S. 105 Sen Abraham Bernstein,321100010105,10462
P.S. 106 Parkchester,321100010106,10462
P.S. 108 Philip J. Abinanti,321100010108,10461
P.S. 111 Seton Falls,321100010111,10466
P.S. 112 Bronxwood,321100010112,10466
P.S. 121 Throop,321100010121,10469
J.H.S. 127 The Castle Hill,321100010127,10462
J.H.S. 144 Michelangelo,321100010144,10469
P.S. 153 Helen Keller,321100010153,10475
P.S. 160 Walt Disney,321100010160,10475
Baychester Academy,321100010169,10466
P.S. 175 City Island,321100010175,10464
P.S. 178 - Dr. Selman Waksman,321100010178,10475
M.S. 180 Dr. Daniel Hale Williams,321100010180,10475
I.S. 181 Pablo Casals,321100010181,10475
Cornerstone Academy for Social Action,321100010189,10475
P.S./M.S. 194,321100010194,10462
Bronx Health Sciences High School,321100011249,10475
Bronx High School for Writing and Communication Arts,321100011253,10467
Bronx Lab School,321100011265,10467
Academy for Scholarship and Entrepreneurship: A College Board School,321100011270,10466
Globe School for Environmental Research,321100011272,10467
High School of Computers and Technology,321100011275,10467
The Forward School,321100010287,10467
Collegiate Institute for Math and Science,321100011288,10469
The Young Scholars Academy of The Bronx,321100010289,10467
Bronx Academy of Health Careers,321100011290,10467
Astor Collegiate Academy,321100011299,10469
Bronx Green Middle School,321100010326,10467
Bronx Alliance Middle School,321100010355,10466
Young Voices Academy of the Bronx,321100010357,10462
School of Diplomacy,321100010370,10467
Bronx High School for the Visual Arts,321100011418,10462
Harry S Truman High School,321100011455,10475
Cornerstone Academy for Social Action Middle School (CASA),321100010462,10475
Pelham Academy of Academics and Community Engagement,321100010468,10467
The STEAM Bridge School,321100010481,10462
The Matilda Avenue School,321100010483,10470
P.S./M.S. 11X498 - VAN NEST ACADEMY,321100010498,10462
Bronxdale High School,321100011508,10469
