DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
16K308,P.S. 308 CLARA CARDWELL,312,277.6346,194,88,24,6,313,288.2492,126,117,59,11
16K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,110,290.0182,43,41,19,7,110,287.5182,48,43,17,2
16K335,P.S. 335 GRANVILLE T. WOODS,147,280.4626,76,49,18,4,147,285.0272,65,55,21,6
16K385,"SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP",102,273.7059,63,34,4,1,98,270.9592,62,31,1,4
16K534,UPPER SCHOOL @ P.S. 25,128,275.3125,85,38,4,1,124,280.6613,64,52,6,2
16K584,M.S. 584,105,270.6476,82,18,5,0,103,270.6117,64,37,2,0
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,63,296.7302,18,22,23,0,59,307.2881,9,26,22,2
16K628,BROOKLYN BROWNSTONE SCHOOL,68,305.3529,15,28,17,8,68,310.8676,11,27,24,6
16K636,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION,68,293.3824,25,27,15,1,66,300.5909,15,34,15,2
16K681,MADIBA PREP MIDDLE SCHOOL,151,276.5629,101,42,5,3,151,277.0331,84,60,6,1
17K002,PARKSIDE PREPARATORY ACADEMY,420,283.5667,207,147,55,11,452,289.7124,178,182,75,17
17K006,P.S. 006,326,290.9356,150,92,54,30,324,287.3765,166,103,41,14
17K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,82,286.4268,37,28,14,3,82,286.2195,41,29,10,2
17K061,M.S. 061 DR. GLADSTONE H. ATWELL,721,290.2164,295,312,102,12,714,292.0028,254,326,110,24
17K091,P.S. 091 THE ALBANY AVENUE SCHOOL,237,275.9156,149,51,23,14,232,281.0043,126,69,31,6
17K092,P.S. 092 ADRIAN HEGEMAN,208,286.4279,111,67,25,5,208,283.9856,106,84,17,1
17K138,P.S. 138 BROOKLYN,430,295.8721,153,172,79,26,430,296.3326,125,203,85,17
17K161,P.S. 161 THE CROWN,312,297.1795,116,117,47,32,308,295.4903,111,128,50,19
17K167,P.S. 167 THE PARKWAY,163,283.2331,82,50,24,7,164,279.5244,90,49,25,0
17K181,P.S. 181 BROOKLYN,633,284.1074,323,215,76,19,630,290.8476,254,272,89,15
17K189,P.S. 189 THE BILINGUAL CENTER,805,308.7689,184,293,211,117,794,298.772,241,332,163,58
17K191,P.S. 191 PAUL ROBESON,107,294.3551,37,48,17,5,103,286.8835,47,39,16,1
17K221,P.S. 221 TOUSSAINT L'OUVERTURE,206,289.1505,89,74,34,9,206,288.699,94,72,32,8
17K241,P.S. 241 EMMA L. JOHNSTON,280,310.5714,57,97,79,47,271,304.9373,65,98,93,15
17K246,M.S. 246 WALT WHITMAN,465,270.2968,335,113,13,4,510,278.7294,271,199,37,3
17K249,P.S. 249 THE CATON,324,322.8549,20,104,120,80,324,314.6019,30,153,113,28
17K289,P.S. 289 GEORGE V. BROWER,229,299.3581,84,76,43,26,227,292.0793,89,87,46,5
17K316,P.S. 316 ELIJAH STROUD,125,309.68,30,40,34,21,125,300.616,33,50,35,7
17K334,MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE,151,262.5762,118,31,2,0,152,266.6513,103,45,4,0
17K340,I.S. 340,178,300.9663,44,102,26,6,202,310.5248,20,99,69,14
17K352,EBBETS FIELD MIDDLE SCHOOL,261,269.8199,193,59,9,0,277,275.7401,159,107,10,1
17K353,ELIJAH STROUD MIDDLE SCHOOL,254,278.0787,152,90,10,2,256,280.6523,131,113,9,3
17K354,THE SCHOOL OF INTEGRATED LEARNING,227,309.3392,60,70,68,29,224,294.4866,65,118,34,7
17K375,P.S. 375 JACKIE ROBINSON SCHOOL,208,288.1683,98,66,39,5,207,285.1449,100,80,23,4
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,138,281.7754,83,45,9,1,137,283.8905,66,64,6,1
17K394,M.S. K394,363,281.1377,200,131,29,3,364,290.5577,145,157,56,6
17K397,P.S. 397 FOSTER-LAURIE,178,287.5169,81,66,23,8,175,297.1657,54,79,36,6
17K398,P.S. 398 WALTER WEAVER,141,293.234,57,51,25,8,141,293.3475,55,64,22,0
17K399,P.S. 399 STANLEY EUGENE CLARK,239,297.41,79,89,47,24,235,298.3915,80,100,42,13
